"Time","MwxStbdRelativeHumidity stbd_mast_vaisala"
2025-01-10 14:34:00,80%
2025-01-10 14:36:00,80%
2025-01-10 14:38:00,79%
2025-01-10 14:40:00,77%
2025-01-10 14:42:00,78%
2025-01-10 14:44:00,79%
2025-01-10 14:46:00,78%
2025-01-10 14:48:00,77%
2025-01-10 14:50:00,76%
2025-01-10 14:52:00,77%
2025-01-10 14:54:00,78%
2025-01-10 14:56:00,78%
2025-01-10 14:58:00,77%
2025-01-10 15:00:00,77%
2025-01-10 15:02:00,77%
2025-01-10 15:04:00,77%
2025-01-10 15:06:00,78%
2025-01-10 15:08:00,78%
2025-01-10 15:10:00,78%
2025-01-10 15:12:00,78%
2025-01-10 15:14:00,76%
2025-01-10 15:16:00,78%
2025-01-10 15:18:00,77%
2025-01-10 15:20:00,76%
2025-01-10 15:22:00,76%
2025-01-10 15:24:00,76%
2025-01-10 15:26:00,74%
2025-01-10 15:28:00,76%
2025-01-10 15:30:00,75%
2025-01-10 15:32:00,75%
2025-01-10 15:34:00,75%
2025-01-10 15:36:00,77%
2025-01-10 15:38:00,77%
2025-01-10 15:40:00,75%
2025-01-10 15:42:00,76%
2025-01-10 15:44:00,76%
2025-01-10 15:46:00,77%
2025-01-10 15:48:00,75%
2025-01-10 15:50:00,77%
2025-01-10 15:52:00,77%
2025-01-10 15:54:00,76%
2025-01-10 15:56:00,76%
2025-01-10 15:58:00,77%
2025-01-10 16:00:00,75%
2025-01-10 16:02:00,77%
2025-01-10 16:04:00,76%
2025-01-10 16:06:00,77%
2025-01-10 16:08:00,77%
2025-01-10 16:10:00,76%
2025-01-10 16:12:00,75%
2025-01-10 16:14:00,72%
2025-01-10 16:16:00,74%
2025-01-10 16:18:00,76%
2025-01-10 16:20:00,75%
2025-01-10 16:22:00,72%
2025-01-10 16:24:00,73%
2025-01-10 16:26:00,74%
2025-01-10 16:28:00,74%
2025-01-10 16:30:00,74%
2025-01-10 16:32:00,75%
2025-01-10 16:34:00,75%
2025-01-10 16:36:00,76%
2025-01-10 16:38:00,75%
2025-01-10 16:40:00,75%
2025-01-10 16:42:00,74%
2025-01-10 16:44:00,73%
2025-01-10 16:46:00,74%
2025-01-10 16:48:00,75%
2025-01-10 16:50:00,75%
2025-01-10 16:52:00,74%
2025-01-10 16:54:00,76%
2025-01-10 16:56:00,74%
2025-01-10 16:58:00,74%
2025-01-10 17:00:00,75%
2025-01-10 17:02:00,74%
2025-01-10 17:04:00,76%
2025-01-10 17:06:00,75%
2025-01-10 17:08:00,74%
2025-01-10 17:10:00,74%
2025-01-10 17:12:00,74%
2025-01-10 17:14:00,74%
2025-01-10 17:16:00,73%
2025-01-10 17:18:00,74%
2025-01-10 17:20:00,76%
2025-01-10 17:22:00,77%
2025-01-10 17:24:00,77%
2025-01-10 17:26:00,76%
2025-01-10 17:28:00,73%
2025-01-10 17:30:00,74%
2025-01-10 17:32:00,74%
2025-01-10 17:34:00,75%
2025-01-10 17:36:00,76%
2025-01-10 17:38:00,75%
2025-01-10 17:40:00,73%
2025-01-10 17:42:00,73%
2025-01-10 17:44:00,73%
2025-01-10 17:46:00,72%
2025-01-10 17:48:00,74%
2025-01-10 17:50:00,74%
2025-01-10 17:52:00,75%
2025-01-10 17:54:00,74%
