"Time","Salinity wetlab_sbe45_tsg"
1736395200000,0.0809
1736396100000,0.0808
1736397000000,0.0808
1736397900000,0.0807
1736398800000,0.0807
1736399700000,0.0806
1736400600000,34.1488
1736401500000,34.3543
1736402400000,34.0852
1736403300000,34.0778
1736404200000,34.0555
1736405100000,33.8992
1736406000000,34.142
1736406900000,33.7779
1736407800000,33.6239
1736408700000,33.6362
1736409600000,33.4849
1736410500000,33.3138
1736411400000,33.3309
1736412300000,33.4041
1736413200000,33.4385
1736414100000,33.4816
1736415000000,33.6185
1736415900000,33.5934
1736416800000,33.6248
1736417700000,33.6605
1736418600000,33.7155
1736419500000,33.7095
1736420400000,33.7177
1736421300000,33.6976
1736422200000,33.6647
1736423100000,33.7041
1736424000000,33.7024
1736424900000,33.4551
1736425800000,33.6056
1736426700000,33.9033
1736427600000,33.7848
1736428500000,33.8262
1736429400000,33.8744
1736430300000,33.9188
1736431200000,34.1092
1736432100000,34.0694
1736433000000,33.7358
1736433900000,33.8025
1736434800000,33.7745
1736435700000,34.0646
1736436600000,33.8787
1736437500000,33.9176
1736438400000,33.9956
1736439300000,34.3648
1736440200000,34.5635
1736441100000,34.6878
1736442000000,34.8651
1736442900000,35.1248
1736443800000,35.2379
1736444700000,35.2085
1736445600000,35.1816
1736446500000,35.1707
1736447400000,34.9884
1736448300000,35.0763
1736449200000,35.0571
1736450100000,35.0743
1736451000000,35.1254
1736451900000,35.1161
1736452800000,35.1701
1736453700000,35.1503
1736454600000,35.1366
1736455500000,35.1529
1736456400000,35.1927
1736457300000,35.2369
1736458200000,35.2051
1736459100000,35.2574
1736460000000,35.2925
1736460900000,35.2687
1736461800000,35.1432
1736462700000,35.0658
1736463600000,35.075
1736464500000,35.0794
1736465400000,35.0451
1736466300000,35.0413
1736467200000,35.0355
1736468100000,35.0492
1736469000000,35.034
1736469900000,35.0377
1736470800000,35.0512
1736471700000,35.0522
1736472600000,35.0535
1736473500000,35.0449
1736474400000,35.0446
1736475300000,35.0269
1736476200000,35.0365
1736477100000,35.0364
1736478000000,35.0369
1736478900000,35.0414
1736479800000,35.0423
1736480700000,35.0343
1736481600000,35.0293
1736482500000,35.0288
1736483400000,35.0312
1736484300000,35.0313
1736485200000,35.0302
1736486100000,35.0306
1736487000000,35.0299
1736487900000,35.0324
1736488800000,35.0349
1736489700000,35.0344
1736490600000,35.0356
1736491500000,35.036
1736492400000,35.037
1736493300000,35.0356
1736494200000,35.0347
1736495100000,35.0334
1736496000000,35.0327
1736496900000,35.0337
1736497800000,35.035
1736498700000,35.0301
1736499600000,35.0271
1736500500000,35.0279
1736501400000,35.0335
1736502300000,35.046
1736503200000,35.0534
1736504100000,35.0562
1736505000000,35.0683
1736505900000,35.0763
1736506800000,35.088
1736507700000,35.0819
1736508600000,35.0795
1736509500000,35.0837
1736510400000,35.0807
1736511300000,35.0786
1736512200000,35.0829
1736513100000,35.0887
1736514000000,35.0856
1736514900000,35.0833
1736515800000,35.0812
1736516700000,35.083
1736517600000,35.0846
1736518500000,35.0753
1736519400000,35.0583
1736520300000,35.0708
